mapped,country,gdp_rate
Afghanistan,Afghanistan,2.3
Albania,Albania,4.1
Algeria,Algeria,2.0
Angola,Angola,1.6
Antigua and Barbuda,Antigua and Barbuda,5.3
Argentina,Argentina,2.5
Armenia,Armenia,5.0
Australia,Australia,2.8
Austria,Austria,2.7
Azerbaijan,Azerbaijan,1.3
Bahrain,Bahrain,1.8
Bangladesh,Bangladesh,7.7
Barbados,Barbados,0.5
Belarus,Belarus,3.0
Belgium,Belgium,1.4
Belize,Belize,3.0
Benin,Benin,6.5
Bolivia (Plurinational State of),Bolivia,4.3
Bosnia and Herzegovina,Bosnia and Herzegovina,3.1
Botswana,Botswana,4.5
Brazil,Brazil,1.1
Brunei Darussalam,Brunei Darussalam,0.2
Bulgaria,Bulgaria,3.2
Burkina Faso,Burkina Faso,6.0
Burundi,Burundi,0.1
Cambodia,Cambodia,7.2
Cameroon,Cameroon,4.0
Canada,Canada,1.8
Cabo Verde,Cape Verde,4.7
Central African Republic,Central African Republic,4.3
Chad,Chad,3.0
Chile,Chile,4.0
China,China,6.5
Colombia,Colombia,2.6
Comoros,Comoros,2.7
Costa Rica,Costa Rica,2.6
Croatia,Croatia,2.7
Cyprus,Cyprus,3.8
Czechia,Czech Republic,2.9
Democratic Republic of the Congo,Democratic Republic of the Congo,3.9
Denmark,Denmark,1.2
Djibouti,Djibouti,6.7
Dominica,Dominica,11.9
Dominican Republic,Dominican Republic,7.0
Ecuador,Ecuador,1.0
Egypt,Egypt,5.3
El Salvador,El Salvador,2.5
Equatorial Guinea,Equatorial Guinea,5.7
Eritrea,Eritrea,4.1
Estonia,Estonia,3.8
Eswatini,Eswatini,0.2
Ethiopia,Ethiopia,7.7
Fiji,Fiji,3.2
Finland,Finland,2.4
France,France,1.5
Gabon,Gabon,1.2
Georgia,Georgia,4.7
Germany,Germany,1.4
Ghana,Ghana,5.6
Greece,Greece,2.0
Grenada,Grenada,4.7
Guatemala,Guatemala,3.1
Guinea,Guinea,5.7
Guinea-Bissau,Guinea-Bissau,3.8
Guyana,Guyana,3.4
Haiti,Haiti,1.4
Honduras,Honduras,3.6
Hungary,Hungary,4.9
Iceland,Iceland,4.6
India,India,7.0
Indonesia,Indonesia,5.2
Iran (Islamic Republic of),Iran,3.9
Iraq,Iraq,0.5
Ireland,Ireland,6.8
Israel,Israel,3.2
Italy,Italy,0.8
Côte d'Ivoire,Ivory Coast,7.4
Jamaica,Jamaica,1.3
Japan,Japan,0.8
Jordan,Jordan,2.0
Kazakhstan,Kazakhstan,4.1
Kenya,Kenya,5.9
Kuwait,Kuwait,1.7
Kyrgyzstan,Kyrgyzstan,3.4
Lao People's Democratic Republic,Laos,6.5
Latvia,Latvia,4.7
Lebanon,Lebanon,0.2
Lesotho,Lesotho,1.4
Liberia,Liberia,1.2
Libya,Libya,17.8
Lithuania,Lithuania,3.4
Luxembourg,Luxembourg,2.9
Madagascar,Madagascar,5.1
Malawi,Malawi,3.1
Malaysia,Malaysia,4.7
Maldives,Maldives,6.9
Mali,Mali,4.9
Malta,Malta,6.3
Mauritania,Mauritania,3.0
Mauritius,Mauritius,3.7
Mexico,Mexico,1.9
Republic of Moldova,Moldova,4.0
Mongolia,Mongolia,6.9
Morocco,Morocco,3.0
Mozambique,Mozambique,3.3
Myanmar,Myanmar,2.1
Namibia,Namibia,0.0
Nepal,Nepal,6.2
Netherlands,Netherlands,2.5
New Zealand,New Zealand,2.9
Nicaragua,Nicaragua,4.0
Niger,Niger,5.1
Nigeria,Nigeria,1.9
North Macedonia,North Macedonia,2.6
Norway,Norway,1.3
Oman,Oman,2.0
Pakistan,Pakistan,5.2
Occupied Palestinian Territory,Palestine,2.8
Panama,Panama,3.9
Papua New Guinea,Papua New Guinea,0.0
Paraguay,Paraguay,3.7
Peru,Peru,3.9
Philippines,Philippines,6.2
Poland,Poland,5.0
Portugal,Portugal,2.0
Puerto Rico,Puerto Rico[note 2],2.3
Qatar,Qatar,2.1
Congo,Republic of Congo,0.8
Romania,Romania,4.1
Russian Federation,Russia,2.3
Rwanda,Rwanda,8.5
Saint Kitts and Nevis,Saint Kitts and Nevis,2.9
Saint Lucia,Saint Lucia,0.9
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1.9
Saudi Arabia,Saudi Arabia,2.2
Senegal,Senegal,6.1
Serbia,Serbia,4.3
Sierra Leone,Sierra Leone,3.7
Singapore,Singapore,3.2
Slovakia,Slovakia,4.1
Slovenia,Slovenia,4.4
Somalia,Somalia,3.1
South Africa,South Africa,0.7
Republic of Korea,South Korea,2.6
South Sudan,South Sudan,1.1
Spain,Spain,2.5
Sri Lanka,Sri Lanka,3.0
Sudan,Sudan,2.1
Suriname,Suriname,2.0
Sweden,Sweden,2.3
Switzerland,Switzerland,2.5
Sao Tome and Principe,São Tomé and Príncipe,3.0
Tajikistan,Tajikistan,7.0
United Republic of Tanzania,Tanzania,6.5
Thailand,Thailand,4.1
Gambia,The Gambia,6.6
Timor-Leste,Timor Leste,0.8
Togo,Togo,4.7
Trinidad and Tobago,Trinidad and Tobago,0.3
Tunisia,Tunisia,2.4
Turkey,Turkey,2.5
Turkmenistan,Turkmenistan,6.2
Uganda,Uganda,6.1
Ukraine,Ukraine,3.2
United Arab Emirates,United Arab Emirates,1.6
United Kingdom,United Kingdom,1.3
United States of America,United States,2.8
Uruguay,Uruguay,2.1
Uzbekistan,Uzbekistan,5.0
Venezuela (Bolivarian Republic of),Venezuela,18.0
Viet Nam,Vietnam,7.0
Yemen,Yemen,2.7
Zambia,Zambia,3.4
Zimbabwe,Zimbabwe,3.4
