Area,1958,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,28.89,,,,,,,,,,,,70.49,,,,,,,,,,,,,54.75,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.212000000000001,,,,,,,,,,11.05,,,,,,7.879,,,,,,,,,,,
Algeria,,,,,,,,,,,,28.13,,,,,35.16,,,,,42.19,,,,,49.23,,,,,62.39,,,,,,,,,,,80.25,,,,,,,,,,,109.8,,,,127.6,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.273,,,,,,,,,,,,,1.699,,,,,1.8719999999999999,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2689999999999997,,,,,,,,,,,,,,,9.808,,,,,,,8.462,,,,,
Argentina,,,,,,,,,,,,,,,,,,7.6579999999999995,,,,,,,,,,,,,,,,,,,7.93,,,,,,,,,,,,,,,,10.46,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.01,,,,,,,34.96,,,,,57.66,,,,,59.33,,,,,57.43
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.857999999999999,,,,,8.645,,,,7.443,,,,,,,6.212000000000001,,,,6.24,
Austria,,,,,,,,,,,,,,,,,,,,,,9.229,,,,,9.887,,,,,10.51,,,,,,,10.06,,,,,10.13,,,,,,,,9.649,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.52,,,,,55.23,,,,,44.46,,,,,54.17,,,,,52.85,,,,,56.42
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.1,,,,,,,,,,,,,205.8,,,,,,,,,,,,,132.2,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.724,,,,,,,,,
Barbados,,,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,,,,,,,,,87.5,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.526,,,,,6.055,,,,,5.622999999999999,,,,,5.102,,,,,,4.7860000000000005,
Belgium,,,,,,,,,,,,,,,,,,,,,,110.9,,,,,,,,,,,,,,,,,94.47,,,,,82.74,,,,,76.34,,73.73,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2497,,,,,,,,,,,,,1.261,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8252,,,,,,,,,,,,,,,,0.9752,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4140000000000001,,,,,,,,,
Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6990000000000001,,,,,,,,,,,,,,,,,,,,,,1.177,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.218,,,,,,,2.185,2.177,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9411,,,,,,,1.182,,,1.5,,,,,2.029,,,,,,,,,,,,2.032,,,,2.105,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6569999999999998,,,,,,,,,2.592,,,,,,,,,,2.7460000000000004,,,,3.536,,,,,,3.0,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.864,,,3.466,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,104.8,,,,,104.1,,,,,55.39,,,,,,,,,,,,48.7,,,,,45.84,,,,,42.24,,,41.61,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,2.772,,,,,,,3.595,,,,,,,,,6.8420000000000005,,,,7.82,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.634,,,,,,,,,,,,,10.47,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.767,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.037,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5681,,,,,0.5739,,,,,,,,1.3869999999999998,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.346,,,,,4.644,,,,,4.3469999999999995,,,,,,,,,,,4.255,,,,3.6660000000000004,,,,3.68,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0898,,,,,,,,,,,,,0.3065,,,,,0.3356,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8838,,,,,,,,,,,,,,,4.146,,,4.295,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.152,,,,,,,,,,,,,,8.979,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,32.41,,,,,35.14,,,,,36.52,,,38.38,,,,,,,40.16,,,,,,,41.73,,,,,43.81,,,43.4,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,1.7619999999999998,,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0239,,,,,,,,,,,,,,,0.0274,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.991,,,5.445,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4880000000000002,1.409,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.93,,,,,,,,,,,,16.99,,,,,,23.94,,,,
Cyprus,,,,,,,,,,,,,,,,,21.19,,,,,24.19,,,,,27.34,,,,,30.48,,,28.43,,,,,,,,,23.33,,,,,22.43,,,,,27.38,,,,29.8,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.91,,,,,29.01,,,,,29.94,,,,,28.0,,,,24.86,
C̫te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1039999999999996,,,4.816,,,,5.394,,,,,,6.169,,,,,6.782,,,,,,,,,5.088,,,
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.74,,,,,,,,,,,,
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1939,,,,,0.2269,,,,,,,,,,,,
Denmark,,,,,,,,,,,,19.47,,,,,32.59,,,,,32.59,,,,,46.11,,,,,33.69,,,,,,,24.81,,,,,17.66,,,,,15.03,,,,,17.23,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,2.667,,,,,,,,,,,,,,,6.267,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,8.3,,,,8.3,,,,,,10.0,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.96,,,,,30.21,,,,,39.55,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.407,,,,,6.782,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,87.8,,,,,,,,,,,,,,,,,,,,106.8,,,,,103.9,,,,,,,,,,,,124.0,,,,,119.5
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.547,,,,,,,,8.584,,,,,13.21,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0927,,,,,,,,,,,,,0.1613,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.938,,,,11.18,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.45,,,14.69,,,,,,,15.29,,,,,19.84,,,,,17.64,,18.61,,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,47.71,,,,,,,,,,,,,,,,,,,,75.67,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,24.04,,,,,,,,,,,32.26,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1051,,,,,,,,,,,,,0.2862,,,,,0.2974,,,,,,,,,,,,
Finland,,,,,,,,,,,,7.825,,,,,8.418,,,,,8.774,,,,,9.485,,,,,5.566,,,,,6.132000000000001,,,,5.521,,,,,,,15.56,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,27.1,,,,,30.53,,,,,,,34.33,,,,,26.55,,,,,28.33,,,,,27.13,,,,,24.2,,,,25.71,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2166,,,,,,,,,,,,,0.4343,,,,,0.5022,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,0.435,,,,,,,,,,,,,,,,,,1.9680000000000002,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.906000000000001,,,5.938,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.42,,,,61.95,,,,,,53.6,,,,,,44.22,,,45.22,,,34.72,,,,
Ghana,,,,,,,,,,,,1.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.281000000000001,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,8.606,,,,,8.651,,,,,10.18,,,,,11.1,,,,,,,16.24,,,,,17.57,,,,,18.66,,,,,19.41,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,7.05,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.742999999999999,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.138,,,,,,,,,,,,,,0.8512,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1419,,,,,1.496,,,,1.496,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333,,,,,,,,3.7439999999999998,,,,,,,,,,3.299,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.038,,,,11.85,,,,,,,,,,,,,,13.37,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.622,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,5.147,,,,,6.848,,,,,8.299,,,,,10.97,,,,,,,12.33,,,,10.38,,,,,,9.879,,,,,9.644,,,,,8.724,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,0.1468,,,,,0.1522,,,,,,,0.2269,,,,,,,,,,0.2242,,0.2242,,,,,,,,4.853,,,0.3782,,
India,,,,,,,,,,,,,,,,,39.02,,,,,45.0,,,,,,51.07,,,,51.34,,,,,,,,,,62.68,,,,,,,,,,66.49,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.908999999999999,,,,,,,,,,15.11,,,,,,,,,,,,,,,,29.68,
Iran (Islamic Republic of),,,,,,,,,,,,,,,,,39.37,,,,,,,,,,,,,,,,,,,,72.62,,,,,,78.48,,,81.45,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,56.97,,,,,57.3,,,,,57.61,,,,,60.11,,,,,76.39,,,,,92.68,,,,,,,,,,,,,,,,54.13,
Ireland,,,,,,,,,,,,,,,,,,,,,,5.149,,,,,,,,,,,,,,5.659,,,,,,,,,,,,,3.512,,3.6430000000000002,,,,,,,,
Israel,,,,,,,,,,,,133.0,,,,,137.9,,,,,141.7,,,,,,148.4,,,,136.7,,,,,132.2,,,,,,,133.1,,122.4,,,,,,,,,,,,,
Italy,,,,,,,,,,,,36.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.72,,,,,,,,47.36,,,,,,,30.13,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.572000000000001,,,,,,,,,,,,,,7.5,,,,,,,,,12.51,
Japan,,,,,,,,,,,,,,,,,,,,,,40.55,,,,,,,,,,,,42.02,,,,,41.01,,,,,38.83,,,,,38.05,,37.34,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,49.95,,,,,59.25,,,,,68.56,,,,,,,103.8,,,,,,,,,,81.75,,,,,102.1,,,,,94.03,,,,100.1,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.49,,,,,,,25.86,,,,,27.49,,,,,28.06,,,,29.73,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.89,,,,,,,,,,,,,19.13,,,,,,,26.53,,,,,,33.24,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.0,,,,,,,,2075.0,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.55,,,,,,65.44,,,,,,50.03,,,,,,,,,,,
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2769999999999997,,,,,,,,,,,,
